id,title,duration,mpa,rating,votes,méta_score,description,movie_link,writers,directors,stars,budget,opening_weekend_gross,gross_worldwide,gross_us_canada,release_date,countries_origin,filming_locations,production_companies,awards_content,genres,languages
tt0141822,Printre colinele verzi,2h 1m,,6.6,41,,The murder of two workers and a high school student triggers a series of investigations whose conclusions are awaited.,https://www.imdb.com/title/tt0141822/,['Nicolae Breban'],['Nicolae Breban'],"['Mircea Albulescu', 'Ion Anestin', 'Ion Besoiu', 'Lucia Boga', 'Ion Caramitru', 'Mircea Cosma', 'Ion Dichiseanu', 'Emilia Dobrin', 'Vasile Florescu', 'Dinu Gherasim']",,,,,19-04-1970,['Romania'],,,,"['Crime', 'Drama', 'Thriller']",['Romanian']
tt0089776,Parole de flic,1h 38m,,5.6,1.3K,,Retired police officer Daniel Pratt's teenage daughter is killed by a gang of hooded men. Pratt begins his own investigation to find the killers and who ordered them to do it - and take personal revenge out of the judicial system.,https://www.imdb.com/title/tt0089776/,"['Philippe Setbon', 'Alain Delon', 'José Pinheiro']",['José Pinheiro'],"['Alain Delon', 'Jacques Perrin', 'Fiona Gélin', 'Éva Darlan', 'Jean-François Stévenin', 'Stéphane Ferrara', 'Vincent Lindon', 'Sacha Gordine', 'Dominique Valera', 'Jean-Yves Chatelais']",,,,,21-08-1985,['France'],"[""The People's Republic of the Congo""]","['Adel Productions', 'The Republic of the Congo', 'Societé Nationale des Chemins de Fer Français (SNCF)']",,"['Action', 'Crime', 'Drama', 'Thriller']",['French']
tt0405422,The 40-Year-Old Virgin,1h 56m,R,7.1,483K,73,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",https://www.imdb.com/title/tt0405422/,"['Judd Apatow', 'Steve Carell']",['Judd Apatow'],"['Steve Carell', 'Catherine Keener', 'Paul Rudd', 'Romany Malco', 'Seth Rogen', 'Elizabeth Banks', 'Leslie Mann', 'Jane Lynch', 'Gerry Bednob', 'Shelley Malil']","$26,000,000 (estimated)","$21,422,815","$177,378,645","$109,449,237",19-08-2005,['United States'],"['17401 Ventura Blvd., Encino, Los Angeles, California, USA (SmartTech Store)']","['Universal Pictures', 'Apatow Productions']",,"['Feel-Good Romance', 'Raunchy Comedy', 'Romantic Comedy', 'Comedy', 'Romance']","['English', 'Spanish', 'Japanese']"
tt0042980,So Long at the Fair,1h 26m,Approved,7.1,2.6K,,"Vicky Barton visits Paris with her brother Johnny, only to discover the following morning he has gone missing and the hotel staff have no recollection of his presence.",https://www.imdb.com/title/tt0042980/,"['Anthony Thorne', 'Hugh Mills']","['Antony Darnborough', 'Terence Fisher']","['Jean Simmons', 'Dirk Bogarde', 'David Tomlinson', 'Honor Blackman', 'Felix Aylmer', 'Cathleen Nesbitt', 'Betty Warren', 'Marcel Poncin', 'Austin Trevor', 'André Morell']",,,,,29-03-1951,['United Kingdom'],"['Paris, France (This information already exists in your trivia section)']",['Gainsborough Pictures'],,"['Costume Drama', 'Period Drama', 'Drama', 'Mystery']","['English', 'French', 'German']"
tt10720352,Arthur the King,1h 47m,PG-13,7,34K,54,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.,https://www.imdb.com/title/tt10720352/,"['Michael Brandt', 'Mikael Lindnord']",['Simon Cellan Jones'],"['Mark Wahlberg', 'Simu Liu', 'Juliet Rylance', 'Nathalie Emmanuel', 'Ali Suliman', 'Bear Grylls', 'Paul Guilfoyle', 'Rob Collins', 'Alani Ilongwe', 'Cece Valentina']","$19,000,000 (estimated)","$7,633,898","$40,856,831","$25,049,006",15-03-2024,"['United States', 'Canada']","['Zona Colonial, Santo Domingo, Dominican Republic']","['Lionsgate', 'eOne Films', 'Tucker Tooley Entertainment']",,"['Extreme Sport', 'Adventure', 'Drama', 'Sport']",['English']
tt0114571,Stuart Saves His Family,1h 35m,PG-13,5.3,3K,54,A self-help advocate struggles to put his dysfunctional family in its place.,https://www.imdb.com/title/tt0114571/,['Al Franken'],['Harold Ramis'],"['Al Franken', 'Laura San Giacomo', ""Vincent D'Onofrio"", 'Shirley Knight', 'Harris Yulin', 'Lesley Boone', 'John Graney', 'Marjorie Lovett', 'Walter Robles', 'Erik Cord']",,"$371,898","$912,082","$912,082",12-04-1995,"['Germany', 'United States']","['Chicago, Illinois, USA']","['Paramount Pictures', 'Constellation', 'Broadway Pictures']",,"['Comedy', 'Drama']",['English']
tt0239450,Ants in the Pants,1h 35m,,5,4.6K,,"A late bloomer, 15-year-old Flo experiences his sexual awakening, relentlessly targeting his gorgeous classmate Leonie. Flos friends eagerly try to help him out. The only problem may be Leonie's boyfriend.",https://www.imdb.com/title/tt0239450/,"['Granz Henman', 'Alberto Moravia']",['Marc Rothemund'],"['Tobias Schenke', 'Axel Stein', 'Luise Helm', 'Mina Tander', 'Björn Kirschniok', 'Nicky Kantor', 'Tom Lass', 'Sascha Heymans', 'Sissi Perlinger', 'Stefan Jürgens']",,,"$7,775,236",,30-03-2000,['Germany'],"['Augsburg, Bavaria, Germany']",['Constantin Film'],,"['Teen Comedy', 'Comedy', 'Fantasy', 'Romance']",['German']
tt0118849,Children of Heaven,1h 29m,PG,8.2,85K,77,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",https://www.imdb.com/title/tt0118849/,['Majid Majidi'],['Majid Majidi'],"['Reza Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi', 'Nafise Jafar-Mohammadi', 'Fereshte Sarabandi', 'Kamal Mirkarimi', 'Behzad Rafiei', 'Hossein Ahamdloo', 'Seyed Karym Alikhani', 'Kazem Asqarpoor']","$180,000 (estimated)","$20,100","$933,933","$933,933",22-01-1999,['Iran'],"['Tehran, Iran']",['Kanun parvaresh fekri'],,"['Drama', 'Family', 'Sport']",['Persian']
tt0065989,Little Fauss and Big Halsy,1h 39m,R,5.9,1.5K,,The friendship between two Arizona dirt bike racers is tested when they both lust for an attractive runaway young woman who joins them on the racing circuit.,https://www.imdb.com/title/tt0065989/,['Charles Eastman'],['Sidney J. Furie'],"['Robert Redford', 'Michael J. Pollard', 'Lauren Hutton', 'Noah Beery Jr.', 'Lucille Benson', 'Ray Ballard', 'Linda Gaye Scott', ""Erin O'Reilly"", 'Ben Archibek', 'Sharmagne Leland-St. John']",,,,"$1,755,485",21-10-1970,['United States'],"['Sonoran Desert, Arizona, USA']","['Alfran Productions', 'Furie Productions', 'Paramount Pictures']",,['Drama'],['English']
tt0045681,Desperate Moment,1h 28m,,,,,Simon Van Halder (Sir Dirk Bogarde) is accused of murdering a British soldier during post-World War II mayhem. His girlfriend works on his behalf to expose the true villain.,https://www.imdb.com/title/tt0045681/,"['Martha Albrand', 'George H. Brown', 'Patrick Kirwan']",['Compton Bennett'],"['Dirk Bogarde', 'Mai Zetterling', 'Philip Friend', 'Albert Lieven', 'Fritz Wendhausen', 'Carl Jaffe', 'Gerard Heinz', 'André Mikhelson', 'Harold Ayer', 'Walter Gotell']",,,,,01-08-1953,['United Kingdom'],"['Berlin, Germany (Brandenburg Gate scenes)']",['George H. Brown Productions'],,"['Crime', 'Drama', 'Thriller', 'War']",['English']
